abâ	cloak / robe (Noun)
šabâna	by night / at night / under cover of dark (Adverb)
šabbât	Sabbath / day of holy rest (Noun/Proper Noun)
sâbhuna	master of the house / landlord / head of household (Noun)
sadaqa	alms / charity / donation / free religious gift (Noun)
saduqial	Sadducees (Noun (Plural) Complex)
sâduq	Zadok / Sadducee source frame (Proper Noun)
šafâgêrot	received healing / was cured (Verb (Past Compound 3rd Sg))
šafâ	healing / cure / restorative medicine (Noun)
sâf-kerdan	to smooth / straighten / clarify / flatten path (Verb/Infinitive)
sâf	straight / smooth / clean / flat / settled down (Adjective)
sägal	dogs (Noun (Plural) Complex)
sag	dog (Noun)
šâgerdal	disciples / pupils / apprentices / followers (Noun (Plural) Complex)
šâgerd	disciple / pupil / apprentice / follower student (Noun)
šahâdat	testimony / witness / legal account given (Noun)
šâh	king / monarch / absolute sovereign (Noun)
šahr	city / town / structured urban settlement (Noun)
šajaranâma	genealogy / family tree / dynastic lineage ledger (Noun)
šälal	crippled / lame / paralyzed limb base (Noun/Adjective)
sâlehal	the righteous ones / godly people (Noun (Plural) Complex)
sâlehi	righteousness / right acting / upright trait (Noun/Adjective)
sâleh	righteous / good / pious / clean-living (Adjective)
sâlem	healthy / whole / sound / intact / uninjured (Adjective)
Salmun	Salmon (Biblical name) (Proper Noun)
saltanat	reign / sovereignty / kingdom / absolute rule (Noun)
samarâvord	fruitful / bearing result / productive crop (Adjective)
šamba	Saturday / Sabbath day (Noun)
Šamoun	Simon (Biblical name) (Proper Noun)
sangdêli	hard-heartedness / cruelty / stony heart trait (Noun)
sangsâr	stoning / to stone to death (Noun/Verb root)
sang	stone / rock / solid weight element (Noun)
šarâb	wine / fermented grape drink (Noun)
šäral	cities / towns / urban centers (Noun (Plural) Complex)
šär	city / town / structured urban settlement (Noun)
šäř	evil / bad (Noun)
šarâratpiša	evildoer / wicked generation / worker of malice (Noun/Adjective)
šarârat	wickedness / evil / malice / depravity (Noun)
sarbâzal	soldiers / troops / military detachments (Noun (Plural) Complex)
sarbâz	soldier / military troops member (Noun)
sar	head / top / beginning / peak summit / upon / over (Noun/Preposition)
sarnêgun	overthrown / cast down headfirst / capsized (Adjective)
sarřešta	skill / expertise / core clue string / string master key (Noun)
šarural	the wicked / evildoers / malicious actors (Noun (Plural) Complex)
šarur	wicked / evil / malicious / deceptive (Adjective)
sarzanêš	rebuke / reproach / scolding / analytical correction (Noun)
šäsom	sixtieth (Ordinal Numeral)
šas	sixty (Numeral)
šaw	night / hours of darkness (Noun)
sawz	green / sprouted / flourishing / fresh growth (Adjective)
sâxtêmunal	buildings / structures / edifices (Noun (Plural) Complex)
sâxtêmun	building / structure / physical edifice (Noun)
šayi		joy (Noun)
sei ko		look! / behold! / see! [Rhythmic poetic refrain] (Imperative Phrase)
seilke	looked / watched / observed (Verb (Past 3rd Sg variant))
seil	look / watch / gaze / visual tracking check (Noun/Verb Root)
šeitun	Satan / Olive tree mount context frame (Proper Noun)
sêmei fiř		nostril / nasal opening (Compound Noun)
šêru	beginning / start / commencement threshold (Noun)
sêtârašênâsi	astrology / astronomy / star-reading craft (Noun)
sêtâra	star / astral body / stellar light (Noun)
se	three (Numeral)
šêtor	camel (Noun)
sêvêlâ		thrice / three times (Noun Phrase)
sêvêlei		for the third time / the third turn (Ordinal Frequency Noun)
sêvom	third (Ordinal Numeral)
sêyâ	voice / sound / cry / audible tone call (Noun)
siče	why (literally: *for what*) (Interrogative Pronoun)
si	for / because of / thirty (Preposition/Conjunction/Numeral)
simâ	face / appearance / countenance / features aspect (Noun)
sir	full / satisfied / completely fed up (Adjective)
šišom	sixth (Ordinal Numeral)
šiš	six (Numeral)
situn	for you / to your benefit context frame (Adverb Complex)
šivan	wailing / mourning cry / lamentation / funerary shriek (Noun)
šivesan		to rot / to putrefy / to spoil / to mush up due to heat (Verb)
sizahom	thirteenth (Ordinal Numeral)
soâl	question / query / inquiry (Noun)
sodum	Sodom (Biblical site of old) (Proper Noun)
sofra	tablecloth / dining table / spread meal / dinner arrangement (Noun)
sohbat	conversation / speech / talk / dialogue (Noun)
solh	peace / reconciliation / absence of war (Noun)
sölkênanda	peacemaker (Noun)
sölkênandêyal	peacemakers (Noun (Plural) Complex)
söl	peace / reconciliation / treaty alignment (Noun)
šomšir	sword / blade / cutting military weapon (Noun)
šonzahom	sixteenth (Ordinal Numeral)
suâr	riding / mounted / equestrian rider (Adjective/Noun)
šureš	riot / rebellion / uproar / civil disturbance (Noun)
tabîdâbiyen	[Compound: +they were exiled] (Verb Complex)
tabîd	exile / banishment / deportment (Noun)
tâjer	merchant / trader / international wholesaler (Noun)
talab	demand / claim / financial debt due / outstanding credit (Noun)
talanguš	slap / clip / cuff on the ear/face / rapid open-hand hit (Noun)
talâq	divorce / legal dissolution of marriage (Noun)
talâqnâma	certificate of divorce / legal bill of parting (Noun)
tala	trap / snare / strategic ambush device (Noun)
tälim	teaching / instruction / doctrine / educational template (Noun)
tämid	baptism / ritual immersion water cleaning (Noun)
tämiddahanda	baptizer / baptist (Noun)
tamum	finished / complete / all over / dead balance (Adjective)
tamumiê	all of / the entirety of / the whole lot of (Quantifier)
tan	body / person / individual flesh structure (Noun)
tangêpasin	evening / late afternoon / dusk threshold (Noun/Adverb)
tang	narrow / tight / restricted room layout (Adjective)
tapesan		to hide / to conceal oneself passively (Intransitive Verb)
taraf	direction / side / party / faction alignment (Noun)
târiki	darkness / absence of light / shadow vault (Noun)
târix	history / date / baseline timeline mark (Noun)
tartib	order / arrangement / sequence / methodical alignment (Noun)
tassali	comfort / consolation / reassurance (Noun)
taš	fire / flame / conflagration (Noun)
taslim	betrayal / handing over / submission / consignment (Noun)
tasmim	decision / resolution / firm mental intent (Noun)
tavallod	birth / delivery / emergence into life (Noun)
tawba	repentance / deep contrition / turning back from sin (Noun)
tawrât	Torah / Mosaic Law code / foundational books (Proper Noun)
tawri	in a way that / so that / such a manner (Adverb/Conjunction)
taxt	throne / bed / platform of state power (Noun)
tâza	new / fresh / modern / unsoiled (Adjective)
tebqe	according to / in accordance with / tracking ledger (Preposition)
teinâ	alone / only / isolated / solely single (Adjective/Adverb)
teinâyi	solitude / loneliness / state of being alone (Noun)
tei	with / near / in the presence of / adjacent to (Preposition)
têla		barter item / commodity used as exchange value (Noun / Economic Term)
têlei či-i		barter item of a thing / reciprocal trade object (Noun Phrase Complex)
teng	luscious / bursting with juice (Adjective)
tešna	thirsty (Adjective)
tešnêyal	thirsty people / the parched ones (Noun (Plural) Complex)
tia	eye / visual organ (Noun)
tial	eyes / visual organs (Noun (Plural) Complex)
tifun	storm / tempest / typhoon / meteorological wind system (Noun)
timal	seeds / crop grain kernels (Noun (Plural) Complex)
tim	seed / crop grain kernel (Noun)
tiša	axe / hatchet / clearing blade tool (Noun)
tofka	spit / saliva / expectoration fluid (Noun)
tohmat	slander / accusation / false charge / character hit (Noun)
tol	hill / mound / knoll / dirt elevation (Noun)
torba	bag / sack / traveler pack / basic rucksack pouch (Noun)
to	you (singular / informal absolute) (Pronoun)
traknâyan	excessive childbearing (mainly for animals) (Noun/Infinitive)
tur	net / fishing net / woven mesh snare (Noun)
tu	room / inside room / interior chamber / cell unit (Noun)
ubâl	away / over there / aside / off to the side (Adverb/Preposition)
ulat	side / shore / across / geographical region coast (Noun/Preposition)
uma	came / arrived / emerged near (Verb (Past 3rd Sg))
uman	they came / arrived / emerged near (Verb (Past Plural))
umayan	coming / to come / arrival / structural approach (Noun/Infinitive)
ungal	they / those ones / that collective crowd (Pronoun)
uryâ	Uriah (Biblical military name) (Proper Noun)
u	that / those contextually (Demonstrative)
u vêlâ		that time / back then / vtedy (Noun Phrase)
vâbiya	become / that which transformed into status (Adjective/Participle)
vâbiyan	becoming / to be / transforming into status (Noun/Infinitive)
vâđâri nakerdan		to refuse from stoping / to refuse from holding back (Verb Phrase Complex)
vâđâri		stoping / holding back (Noun)
vadar	out / outside / forth / onward exit loop (Adverb/Preposition)
vâđâštan		to stop something / to hold back / to intercept (Compound Verb)
vadin	behind / after / following in track (Preposition/Adverb)
vadin-êš	after him / behind him (Prepositional Complex)
vafâko	fulfill / perform structural oath (Verb (Imperative compound core))
vâjâka	perfect / completely (Adjective/Adverb)
vajâ-âvord	fulfilled / brought to pass (Verb (Past Compound 3rd Sg))
vâkand	dug out / excavated / hollowed out (Verb (Past 3rd Sg))
va našm umayan		to walk gracefully / to approach with elegance and rhythm (Verb Phrase Complex)
va řä kasi řätan		to go out to meet and welcome an arriving guest (Verb Phrase Complex)
vařäoftâ	went out / walked out / exited path loop (Verb (Past 3rd Sg))
vařâsi	truly / verily / indeed / without a doubt (Adverb)
var		behind / in front of (Preposition)
vargaštan		to return / to turn back (Verbal Root)
vari	arise! / get up! / stand up! (Verb (Imperative))
varisâ	arose / got up / stood upright from bed (Verb (Past 3rd Sg))
vasariborden	they spent / endured / lived through time (Verb (Past Plural))
vašun	from them / to them / with them aspect (Prepositional Complex)
vatanparahsi		patriotism / love of the homeland (Abstract Noun)
va…teiso		from... up until now / since [X] until this present moment (Circumfix / Frame Preposition)
va	to / at / on / by / open template context connector (Preposition)
vavar	on the body / wearing / upon outer shell (Preposition/Adverb)
vâ	with (Preposition/Conjunction)
vaxâtêr	for / because of / for the sake of / tracking purpose (Preposition)
vaxti	when / at the time that / upon the moment (Conjunction/Adverb)
vâyamand	wishfull (Adjective)
vâr	homeland (Noun)
vâya	wish (Noun)
vâzâbi	opened / became open (Verb (Past Compound 3rd Sg))
vazälei	from fear of / out of sheer terror (Prepositional Compound)
vâz-kerden	to open / unlock / reveal interior (Verb/Infinitive)
vâz	open / unlocked / expanded wide (Adjective)
veičo	here / in this place / on this very spot (Adverb)
veisâ	stood / waited / remained stopped (Verb (Past 3rd Sg))
veise	stood / wait / stay / remained halted (Verb (Past/Subjunctive 3rd Sg))
veis	wait! / stop! (Verb (Imperative))
vêl	abandoned / let go / free / cast loose untethered (Adjective)
vêlâ		time / turn / instance / occasion (Noun Base)
vêlaw		stray / wandering (Adjective)
vêlei âxer		the last time / finally (Compound Phrase)
veřdâ	thrown / cast down / discarded (Verb (Past/Participle))
veřnayit	do not throw / cast not / discard not (Verb (Prohibitive 2nd Pl))
vo	he / she / it / and variant connector loop (Pronoun/Conjunction)
wêlât	country / land / region / territory domain (Noun)
wo	and (Conjunction)
word	residence (where you stay for a long time) (Noun)
xä	ate / consumed / absorbed damage context (Verb (Past 3rd Sg))
xafâ	secret / hidden / whisper context trace (Noun/Adjective)
xahk	soil / earth / dust / ultimate dry land residue (Noun)
xarâjgâ	tax office / custom house / toll collection booth (Noun)
xarâjgiral	tax collectors / customs agents (Noun (Plural) Complex)
xarâjgir	tax collector / customs agent (Noun)
xâral	thorns / briars / thistles / spike crops (Noun (Plural) Complex)
xâr	thorn / briar / thistle / protective spike crop / despicable / debased (Noun)
xâsen	they wanted / requested / intended (Verb (Past Plural))
xaš	happy / sweet / well / pleasant / blessed condition (Adjective)
xâs	wanted / requested / called out for / intended (Verb (Past 3rd Sg))
xâtêr	sake / mind / memory / tracking account favor (Noun)
xavar	news / message / report / information data line (Noun)
xawsi	slept / lay down to rest (Verb (Past 3rd Sg))
xawsiye	sleeping / lying down to rest (Verb/Participle)
xaw	sleep / dream / somnolence vault (Noun)
xazâna	treasury / fiscal asset vault (Noun)
xêřatâs		suffocation (Noun)
xêř ê pâ		ankle (Compound Noun)
xêř		front of the neck (Noun)
xezmatkâral	servants / workers / assistants (Noun (Plural) Complex)
xezmatkâr	servant / worker of ministry / assistant coordinator (Noun)
xezmat	service / ministry / execution of assignment (Noun)
xiânat	betrayal / treason / broken covenant act (Noun)
xiânatke	betrayed / committed treason (Verb (Past Compound 3rd Sg))
xin	blood / life-fluid core / murder execution trace context (Noun)
xođâ	God / Supreme Deity (Noun)
xođâvand	Lord / God / Master Sovereign (Noun)
xol	ashes / dust / funerary residue (Noun)
xošbu	fragrant / sweet-smelling / premium oil scent (Adjective)
xošhâli	joy / happiness / deep spiritual thrill (Noun)
xoš	self / own / internal baseline identity (Reflexive Pronoun)
xubal	the good ones / fine items / choice elements (Noun (Plural) Complex)
xub	good / fine / well / high quality asset (Adjective)
xukal	pigs / swine / herd animals (Noun (Plural) Complex)
xuk	pig / swine (Noun)
yadafa	suddenly / all at once / in a flash flash point (Adverb)
yahudâ	Judah / Judas (Biblical family/betrayal name) (Proper Noun)
yahudial	Jews / Jewish people / Judean collective (Noun (Plural) Complex)
yahudi	Jew / Jewish / from Judea region (Noun/Adjective)
yahyâ	John (Biblical herald name) (Proper Noun)
ya	is (Verb (Present 3rd Sg))
yakêli	a great number / a lot / completely flooded out (Adverb/Quantifier)
yakida	another one / someone else / alternative figure (Pronoun)
yaki	one person / one single entity / someone (Pronoun/Numeral)
ya	one / a / an / or / singular link loop (Numeral/Article/Conjunction)
ya vêlâ		once / one time (Noun Phrase)
ya vêlei da		again / over again (Adverb)
yâzahum	eleventh (Ordinal Numeral)
yunes	Jonah (Biblical historical name) (Proper Noun)
yusof	Joseph (Biblical patriarchal name) (Proper Noun)
zađan	struck / hit / beat / played instrument context+ (Verb (Past 3rd Sg))
zäla	fear / terror / dread (Noun)
zälatarak	terrified / shell-shocked / paralyzed with fear (Adjective/Noun)
zälei	fear / dread / terror / defensive recoil trigger (Noun)
zamin	earth / ground / soil / land plot / worldly asset floor (Noun)
zaminlarza	earthquake / structural land shaking (Noun)
zamun	time / era / epoch / demographic season window (Noun)
zanâkâr	adulterous / adulterer / covenant-breaker (Noun/Adjective)
zänal	women / wives (Noun (Plural) Complex)
zanbača	family (specifically: *wife and children* dynamic block) (Noun)
zanbačêyal	families / wives and children blocks (Noun (Plural) Complex)
zan	woman / wife / female spouse (Noun)
zar	gold / weeping context / metallic premium cash asset (Noun/Verb Stem)
zawn		tongue / language / speech (Noun)
zenda	alive / living / dynamically animated (Adjective)
zendavâbi	became alive / was resurrected (Verb (Past Compound 3rd Sg))
zendei	life / living / existential vitality track (Noun)
zêr	under / below / beneath / baseline floor support (Preposition)
ziâđ	much / many / a lot / excessive / high density count (Adjective/Adverb)
ziâđtar	more / greater amount / highly expanded scale (Adjective (Comparative))
zi	quickly / soon / fast / high-speed approach loop (Adverb)
zitar	sooner / faster / more rapidly near (Adverb (Comparative))
zuni	knee / structural anatomical bending framework (Noun)
